tanggal,kode_prov,nama_prov,kode_kab,nama_kab,closecontact,closecontact_dikarantina,closecontact_discarded,suspect,suspect_diisolasi,suspect_discarded,probable,probable_diisolasi,probable_discarded,probable_meninggal,confirmation,confirmation_selesai,confirmation_meninggal,pertumbuhan_closecontact,pertumbuhan_closecontact_discarded,pertumbuhan_closecontact_dikarantina,pertumbuhan_suspect,pertumbuhan_suspect_discarded,pertumbuhan_suspect_diisolasi,pertumbuhan_probable,pertumbuhan_probable_discarded,pertumbuhan_probable_diisolasi,pertumbuhan_probable_meninggal,pertumbuhan_confirmation,pertumbuhan_confirmation_selesai,pertumbuhan_confirmation_meninggal,
2020-08-02,32,Provinsi Jawa Barat,3201,KAB. BOGOR,0,0,0,0,0,0,0,0,0,0,403,244,9,0,0,0,0,0,0,0,0,0,0,2,0,0,
2020-08-02,32,Provinsi Jawa Barat,3273,KOTA BANDUNG,0,0,0,0,0,0,0,0,0,0,567,388,43,0,0,0,0,0,0,0,0,0,0,3,0,0,
2020-08-02,32,Provinsi Jawa Barat,3212,KAB. INDRAMAYU,0,0,0,0,0,0,0,0,0,0,52,32,4,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-08-02,32,Provinsi Jawa Barat,3272,KOTA SUKABUMI,0,0,0,0,0,0,0,0,0,0,54,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-02,32,Provinsi Jawa Barat,3215,KAB. KARAWANG,0,0,0,0,0,0,0,0,0,0,104,42,1,0,0,0,0,0,0,0,0,0,0,4,0,0,
2020-08-02,32,Provinsi Jawa Barat,3274,KOTA CIREBON,0,0,0,0,0,0,0,0,0,0,37,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-02,32,Provinsi Jawa Barat,3207,KAB. CIAMIS,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3208,KAB. KUNINGAN,0,0,0,0,0,0,0,0,0,0,62,25,2,0,0,0,0,0,0,0,0,0,0,13,0,0,
2020-08-03,32,Provinsi Jawa Barat,3211,KAB. SUMEDANG,0,0,0,0,0,0,0,0,0,0,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3213,KAB. SUBANG,0,0,0,0,0,0,0,0,0,0,86,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3214,KAB. PURWAKARTA,0,0,0,0,0,0,0,0,0,0,55,33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-08-03,32,Provinsi Jawa Barat,3278,KOTA TASIKMALAYA,0,0,0,0,0,0,0,0,0,0,27,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3203,KAB. CIANJUR,0,0,0,0,0,0,0,0,0,0,41,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-08-03,32,Provinsi Jawa Barat,3210,KAB. MAJALENGKA,0,0,0,0,0,0,0,0,0,0,13,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
